intersection_group,inter_id,movement,char_index,phase,start_sec,end_sec,duration_sec,state
15+16,215174,23,22,phase_56,1677.0,1680.0,3.0,red
15+16,215174,23,22,phase_57,1680.0,1737.0,57.0,green
15+16,215174,23,22,phase_58,1737.0,1740.0,3.0,yellow
15+16,215174,23,22,phase_59,1740.0,1797.0,57.0,red
15+16,215174,23,22,phase_60,1797.0,1800.0,3.0,red
15+16,215174,23,22,phase_61,1800.0,1857.0,57.0,red
15+16,215174,23,22,phase_62,1857.0,1860.0,3.0,red
15+16,215174,23,22,phase_63,1860.0,1917.0,57.0,green
15+16,215174,23,22,phase_64,1917.0,1920.0,3.0,yellow
15+16,215174,23,22,phase_65,1920.0,1977.0,57.0,red
15+16,215174,23,22,phase_66,1977.0,1980.0,3.0,red
15+16,215174,23,22,phase_67,1980.0,2037.0,57.0,red
15+16,215174,23,22,phase_68,2037.0,2040.0,3.0,red
15+16,215174,23,22,phase_69,2040.0,2097.0,57.0,red
15+16,215174,23,22,phase_70,2097.0,2100.0,3.0,red
15+16,215174,23,22,phase_71,2100.0,2157.0,57.0,red
15+16,215174,23,22,phase_72,2157.0,2160.0,3.0,red
15+16,215174,23,22,phase_73,2160.0,2217.0,57.0,green
15+16,215174,23,22,phase_74,2217.0,2220.0,3.0,yellow
15+16,215174,23,22,phase_75,2220.0,2277.0,57.0,red
15+16,215174,23,22,phase_76,2277.0,2280.0,3.0,red
15+16,215174,23,22,phase_77,2280.0,2337.0,57.0,red
15+16,215174,23,22,phase_78,2337.0,2340.0,3.0,red
15+16,215174,23,22,phase_79,2340.0,2397.0,57.0,green
15+16,215174,23,22,phase_80,2397.0,2400.0,3.0,yellow
15+16,215174,23,22,phase_81,2400.0,2457.0,57.0,red
15+16,215174,23,22,phase_82,2457.0,2460.0,3.0,red
15+16,215174,23,22,phase_83,2460.0,2517.0,57.0,red
15+16,215174,23,22,phase_84,2517.0,2520.0,3.0,yellow
15+16,215174,23,22,phase_85,2520.0,2577.0,57.0,red
15+16,215174,23,22,phase_86,2577.0,2580.0,3.0,red
15+16,215174,23,22,phase_87,2580.0,2637.0,57.0,red
15+16,215174,23,22,phase_88,2637.0,2640.0,3.0,red
15+16,215174,23,22,phase_89,2640.0,2697.0,57.0,green
15+16,215174,23,22,phase_90,2697.0,2700.0,3.0,yellow
15+16,215174,23,22,phase_91,2700.0,2757.0,57.0,red
15+16,215174,23,22,phase_92,2757.0,2760.0,3.0,red
15+16,215174,23,22,phase_93,2760.0,2817.0,57.0,red
15+16,215174,23,22,phase_94,2817.0,2820.0,3.0,red
15+16,215174,23,22,phase_95,2820.0,2877.0,57.0,green
15+16,215174,23,22,phase_96,2877.0,2880.0,3.0,yellow
15+16,215174,23,22,phase_97,2880.0,2937.0,57.0,red
15+16,215174,23,22,phase_98,2937.0,2940.0,3.0,red
15+16,215174,23,22,phase_99,2940.0,2997.0,57.0,red
15+16,215174,23,22,phase_100,2997.0,3000.0,3.0,yellow
15+16,215174,23,22,phase_101,3000.0,3057.0,57.0,red
15+16,215174,23,22,phase_102,3057.0,3060.0,3.0,red
15+16,215174,23,22,phase_103,3060.0,3117.0,57.0,red
15+16,215174,23,22,phase_104,3117.0,3120.0,3.0,red
15+16,215174,23,22,phase_105,3120.0,3177.0,57.0,red
15+16,215174,23,22,phase_106,3177.0,3180.0,3.0,yellow
15+16,215174,23,22,phase_107,3180.0,3237.0,57.0,red
15+16,215174,23,22,phase_108,3237.0,3240.0,3.0,red
15+16,215174,23,22,phase_109,3240.0,3297.0,57.0,red
15+16,215174,23,22,phase_110,3297.0,3300.0,3.0,red
15+16,215174,23,22,phase_111,3300.0,3357.0,57.0,green
15+16,215174,23,22,phase_112,3357.0,3360.0,3.0,yellow
15+16,215174,23,22,phase_113,3360.0,3417.0,57.0,red
15+16,215174,23,22,phase_114,3417.0,3420.0,3.0,red
15+16,215174,23,22,phase_115,3420.0,3477.0,57.0,red
15+16,215174,23,22,phase_116,3477.0,3480.0,3.0,yellow
15+16,215174,23,22,phase_117,3480.0,3537.0,57.0,red
15+16,215174,23,22,phase_118,3537.0,3540.0,3.0,red
15+16,215174,23,22,phase_119,3540.0,3597.0,57.0,red
15+16,215174,23,22,phase_120,3597.0,3600.0,3.0,red
16,215174,1,0,phase_01,0.0,57.0,57.0,green
16,215174,1,0,phase_02,57.0,60.0,3.0,green
16,215174,1,0,phase_03,60.0,117.0,57.0,green
16,215174,1,0,phase_04,117.0,120.0,3.0,green
16,215174,1,0,phase_05,120.0,177.0,57.0,green
16,215174,1,0,phase_06,177.0,180.0,3.0,green
16,215174,1,0,phase_07,180.0,237.0,57.0,green
16,215174,1,0,phase_08,237.0,240.0,3.0,green
16,215174,1,0,phase_09,240.0,297.0,57.0,green
16,215174,1,0,phase_10,297.0,300.0,3.0,green
16,215174,1,0,phase_11,300.0,357.0,57.0,green
16,215174,1,0,phase_12,357.0,360.0,3.0,green
16,215174,1,0,phase_13,360.0,417.0,57.0,green
16,215174,1,0,phase_14,417.0,420.0,3.0,green
16,215174,1,0,phase_15,420.0,477.0,57.0,green
16,215174,1,0,phase_16,477.0,480.0,3.0,green
16,215174,1,0,phase_17,480.0,537.0,57.0,green
16,215174,1,0,phase_18,537.0,540.0,3.0,green
16,215174,1,0,phase_19,540.0,597.0,57.0,green
16,215174,1,0,phase_20,597.0,600.0,3.0,green
16,215174,1,0,phase_21,600.0,657.0,57.0,green
16,215174,1,0,phase_22,657.0,660.0,3.0,green
16,215174,1,0,phase_23,660.0,717.0,57.0,green
16,215174,1,0,phase_24,717.0,720.0,3.0,green
16,215174,1,0,phase_25,720.0,777.0,57.0,green
16,215174,1,0,phase_26,777.0,780.0,3.0,green
16,215174,1,0,phase_27,780.0,837.0,57.0,green
16,215174,1,0,phase_28,837.0,840.0,3.0,green
16,215174,1,0,phase_29,840.0,897.0,57.0,green
16,215174,1,0,phase_30,897.0,900.0,3.0,green
16,215174,1,0,phase_31,900.0,957.0,57.0,green
16,215174,1,0,phase_32,957.0,960.0,3.0,green
16,215174,1,0,phase_33,960.0,1017.0,57.0,green
16,215174,1,0,phase_34,1017.0,1020.0,3.0,green
16,215174,1,0,phase_35,1020.0,1077.0,57.0,green
16,215174,1,0,phase_36,1077.0,1080.0,3.0,green
16,215174,1,0,phase_37,1080.0,1137.0,57.0,green
16,215174,1,0,phase_38,1137.0,1140.0,3.0,green
16,215174,1,0,phase_39,1140.0,1197.0,57.0,green
16,215174,1,0,phase_40,1197.0,1200.0,3.0,green
16,215174,1,0,phase_41,1200.0,1257.0,57.0,green
16,215174,1,0,phase_42,1257.0,1260.0,3.0,green
16,215174,1,0,phase_43,1260.0,1317.0,57.0,green
16,215174,1,0,phase_44,1317.0,1320.0,3.0,green
16,215174,1,0,phase_45,1320.0,1377.0,57.0,green
16,215174,1,0,phase_46,1377.0,1380.0,3.0,green
16,215174,1,0,phase_47,1380.0,1437.0,57.0,green
16,215174,1,0,phase_48,1437.0,1440.0,3.0,green
16,215174,1,0,phase_49,1440.0,1497.0,57.0,green
16,215174,1,0,phase_50,1497.0,1500.0,3.0,green
16,215174,1,0,phase_51,1500.0,1557.0,57.0,green
16,215174,1,0,phase_52,1557.0,1560.0,3.0,green
16,215174,1,0,phase_53,1560.0,1617.0,57.0,green
16,215174,1,0,phase_54,1617.0,1620.0,3.0,green
16,215174,1,0,phase_55,1620.0,1677.0,57.0,green
16,215174,1,0,phase_56,1677.0,1680.0,3.0,green
16,215174,1,0,phase_57,1680.0,1737.0,57.0,green
16,215174,1,0,phase_58,1737.0,1740.0,3.0,green
16,215174,1,0,phase_59,1740.0,1797.0,57.0,green
16,215174,1,0,phase_60,1797.0,1800.0,3.0,green
16,215174,1,0,phase_61,1800.0,1857.0,57.0,green
16,215174,1,0,phase_62,1857.0,1860.0,3.0,green
16,215174,1,0,phase_63,1860.0,1917.0,57.0,green
16,215174,1,0,phase_64,1917.0,1920.0,3.0,green
16,215174,1,0,phase_65,1920.0,1977.0,57.0,green
16,215174,1,0,phase_66,1977.0,1980.0,3.0,green
16,215174,1,0,phase_67,1980.0,2037.0,57.0,green
16,215174,1,0,phase_68,2037.0,2040.0,3.0,green
16,215174,1,0,phase_69,2040.0,2097.0,57.0,green
16,215174,1,0,phase_70,2097.0,2100.0,3.0,green
16,215174,1,0,phase_71,2100.0,2157.0,57.0,green
16,215174,1,0,phase_72,2157.0,2160.0,3.0,green
16,215174,1,0,phase_73,2160.0,2217.0,57.0,green
16,215174,1,0,phase_74,2217.0,2220.0,3.0,green
16,215174,1,0,phase_75,2220.0,2277.0,57.0,green
16,215174,1,0,phase_76,2277.0,2280.0,3.0,green
16,215174,1,0,phase_77,2280.0,2337.0,57.0,green
16,215174,1,0,phase_78,2337.0,2340.0,3.0,green
16,215174,1,0,phase_79,2340.0,2397.0,57.0,green
16,215174,1,0,phase_80,2397.0,2400.0,3.0,green
16,215174,1,0,phase_81,2400.0,2457.0,57.0,green
16,215174,1,0,phase_82,2457.0,2460.0,3.0,green
16,215174,1,0,phase_83,2460.0,2517.0,57.0,green
16,215174,1,0,phase_84,2517.0,2520.0,3.0,green
16,215174,1,0,phase_85,2520.0,2577.0,57.0,green
16,215174,1,0,phase_86,2577.0,2580.0,3.0,green
16,215174,1,0,phase_87,2580.0,2637.0,57.0,green
16,215174,1,0,phase_88,2637.0,2640.0,3.0,green
16,215174,1,0,phase_89,2640.0,2697.0,57.0,green
16,215174,1,0,phase_90,2697.0,2700.0,3.0,green
16,215174,1,0,phase_91,2700.0,2757.0,57.0,green
16,215174,1,0,phase_92,2757.0,2760.0,3.0,green
16,215174,1,0,phase_93,2760.0,2817.0,57.0,green
16,215174,1,0,phase_94,2817.0,2820.0,3.0,green
16,215174,1,0,phase_95,2820.0,2877.0,57.0,green
16,215174,1,0,phase_96,2877.0,2880.0,3.0,green
16,215174,1,0,phase_97,2880.0,2937.0,57.0,green
16,215174,1,0,phase_98,2937.0,2940.0,3.0,green
16,215174,1,0,phase_99,2940.0,2997.0,57.0,green
16,215174,1,0,phase_100,2997.0,3000.0,3.0,green
16,215174,1,0,phase_101,3000.0,3057.0,57.0,green
16,215174,1,0,phase_102,3057.0,3060.0,3.0,green
16,215174,1,0,phase_103,3060.0,3117.0,57.0,green
16,215174,1,0,phase_104,3117.0,3120.0,3.0,green
16,215174,1,0,phase_105,3120.0,3177.0,57.0,green
16,215174,1,0,phase_106,3177.0,3180.0,3.0,green
16,215174,1,0,phase_107,3180.0,3237.0,57.0,green
16,215174,1,0,phase_108,3237.0,3240.0,3.0,green
16,215174,1,0,phase_109,3240.0,3297.0,57.0,green
16,215174,1,0,phase_110,3297.0,3300.0,3.0,green
16,215174,1,0,phase_111,3300.0,3357.0,57.0,green
16,215174,1,0,phase_112,3357.0,3360.0,3.0,green
16,215174,1,0,phase_113,3360.0,3417.0,57.0,green
16,215174,1,0,phase_114,3417.0,3420.0,3.0,green
16,215174,1,0,phase_115,3420.0,3477.0,57.0,green
16,215174,1,0,phase_116,3477.0,3480.0,3.0,green
16,215174,1,0,phase_117,3480.0,3537.0,57.0,green
16,215174,1,0,phase_118,3537.0,3540.0,3.0,green
16,215174,1,0,phase_119,3540.0,3597.0,57.0,green
16,215174,1,0,phase_120,3597.0,3600.0,3.0,green
16,215174,2,1,phase_01,0.0,57.0,57.0,green
16,215174,2,1,phase_02,57.0,60.0,3.0,red
16,215174,2,1,phase_03,60.0,117.0,57.0,red
16,215174,2,1,phase_04,117.0,120.0,3.0,red
16,215174,2,1,phase_05,120.0,177.0,57.0,green
16,215174,2,1,phase_06,177.0,180.0,3.0,yellow
16,215174,2,1,phase_07,180.0,237.0,57.0,red
16,215174,2,1,phase_08,237.0,240.0,3.0,red
16,215174,2,1,phase_09,240.0,297.0,57.0,red
16,215174,2,1,phase_10,297.0,300.0,3.0,red
16,215174,2,1,phase_11,300.0,357.0,57.0,green
16,215174,2,1,phase_12,357.0,360.0,3.0,red
16,215174,2,1,phase_13,360.0,417.0,57.0,red
16,215174,2,1,phase_14,417.0,420.0,3.0,red
16,215174,2,1,phase_15,420.0,477.0,57.0,red
16,215174,2,1,phase_16,477.0,480.0,3.0,red
16,215174,2,1,phase_17,480.0,537.0,57.0,green
16,215174,2,1,phase_18,537.0,540.0,3.0,red
16,215174,2,1,phase_19,540.0,597.0,57.0,red
16,215174,2,1,phase_20,597.0,600.0,3.0,red
16,215174,2,1,phase_21,600.0,657.0,57.0,green
16,215174,2,1,phase_22,657.0,660.0,3.0,yellow
16,215174,2,1,phase_23,660.0,717.0,57.0,red
16,215174,2,1,phase_24,717.0,720.0,3.0,red
16,215174,2,1,phase_25,720.0,777.0,57.0,red
16,215174,2,1,phase_26,777.0,780.0,3.0,red
16,215174,2,1,phase_27,780.0,837.0,57.0,green
16,215174,2,1,phase_28,837.0,840.0,3.0,red
16,215174,2,1,phase_29,840.0,897.0,57.0,red
16,215174,2,1,phase_30,897.0,900.0,3.0,red
16,215174,2,1,phase_31,900.0,957.0,57.0,red
16,215174,2,1,phase_32,957.0,960.0,3.0,red
16,215174,2,1,phase_33,960.0,1017.0,57.0,green
16,215174,2,1,phase_34,1017.0,1020.0,3.0,red
16,215174,2,1,phase_35,1020.0,1077.0,57.0,red
16,215174,2,1,phase_36,1077.0,1080.0,3.0,red
16,215174,2,1,phase_37,1080.0,1137.0,57.0,green
16,215174,2,1,phase_38,1137.0,1140.0,3.0,yellow
16,215174,2,1,phase_39,1140.0,1197.0,57.0,red
16,215174,2,1,phase_40,1197.0,1200.0,3.0,red
16,215174,2,1,phase_41,1200.0,1257.0,57.0,red
16,215174,2,1,phase_42,1257.0,1260.0,3.0,red
16,215174,2,1,phase_43,1260.0,1317.0,57.0,green
16,215174,2,1,phase_44,1317.0,1320.0,3.0,red
16,215174,2,1,phase_45,1320.0,1377.0,57.0,red
16,215174,2,1,phase_46,1377.0,1380.0,3.0,red
16,215174,2,1,phase_47,1380.0,1437.0,57.0,red
16,215174,2,1,phase_48,1437.0,1440.0,3.0,red
16,215174,2,1,phase_49,1440.0,1497.0,57.0,green
16,215174,2,1,phase_50,1497.0,1500.0,3.0,red
16,215174,2,1,phase_51,1500.0,1557.0,57.0,red
16,215174,2,1,phase_52,1557.0,1560.0,3.0,red
16,215174,2,1,phase_53,1560.0,1617.0,57.0,green
16,215174,2,1,phase_54,1617.0,1620.0,3.0,yellow
16,215174,2,1,phase_55,1620.0,1677.0,57.0,red
16,215174,2,1,phase_56,1677.0,1680.0,3.0,red
16,215174,2,1,phase_57,1680.0,1737.0,57.0,red
16,215174,2,1,phase_58,1737.0,1740.0,3.0,red
16,215174,2,1,phase_59,1740.0,1797.0,57.0,green
16,215174,2,1,phase_60,1797.0,1800.0,3.0,red
16,215174,2,1,phase_61,1800.0,1857.0,57.0,red
16,215174,2,1,phase_62,1857.0,1860.0,3.0,red
16,215174,2,1,phase_63,1860.0,1917.0,57.0,red
16,215174,2,1,phase_64,1917.0,1920.0,3.0,red
16,215174,2,1,phase_65,1920.0,1977.0,57.0,green
16,215174,2,1,phase_66,1977.0,1980.0,3.0,red
16,215174,2,1,phase_67,1980.0,2037.0,57.0,red
16,215174,2,1,phase_68,2037.0,2040.0,3.0,red
16,215174,2,1,phase_69,2040.0,2097.0,57.0,green
16,215174,2,1,phase_70,2097.0,2100.0,3.0,yellow
16,215174,2,1,phase_71,2100.0,2157.0,57.0,red
16,215174,2,1,phase_72,2157.0,2160.0,3.0,red
16,215174,2,1,phase_73,2160.0,2217.0,57.0,red
16,215174,2,1,phase_74,2217.0,2220.0,3.0,red
16,215174,2,1,phase_75,2220.0,2277.0,57.0,green
16,215174,2,1,phase_76,2277.0,2280.0,3.0,red
16,215174,2,1,phase_77,2280.0,2337.0,57.0,red
16,215174,2,1,phase_78,2337.0,2340.0,3.0,red
16,215174,2,1,phase_79,2340.0,2397.0,57.0,red
16,215174,2,1,phase_80,2397.0,2400.0,3.0,red
16,215174,2,1,phase_81,2400.0,2457.0,57.0,green
16,215174,2,1,phase_82,2457.0,2460.0,3.0,red
16,215174,2,1,phase_83,2460.0,2517.0,57.0,red
16,215174,2,1,phase_84,2517.0,2520.0,3.0,red
16,215174,2,1,phase_85,2520.0,2577.0,57.0,green
16,215174,2,1,phase_86,2577.0,2580.0,3.0,yellow
16,215174,2,1,phase_87,2580.0,2637.0,57.0,red
16,215174,2,1,phase_88,2637.0,2640.0,3.0,red
16,215174,2,1,phase_89,2640.0,2697.0,57.0,red
16,215174,2,1,phase_90,2697.0,2700.0,3.0,red
16,215174,2,1,phase_91,2700.0,2757.0,57.0,green
16,215174,2,1,phase_92,2757.0,2760.0,3.0,red
16,215174,2,1,phase_93,2760.0,2817.0,57.0,red
16,215174,2,1,phase_94,2817.0,2820.0,3.0,red
16,215174,2,1,phase_95,2820.0,2877.0,57.0,red
16,215174,2,1,phase_96,2877.0,2880.0,3.0,red
16,215174,2,1,phase_97,2880.0,2937.0,57.0,green
16,215174,2,1,phase_98,2937.0,2940.0,3.0,yellow
16,215174,2,1,phase_99,2940.0,2997.0,57.0,red
16,215174,2,1,phase_100,2997.0,3000.0,3.0,red
16,215174,2,1,phase_101,3000.0,3057.0,57.0,green
16,215174,2,1,phase_102,3057.0,3060.0,3.0,yellow
16,215174,2,1,phase_103,3060.0,3117.0,57.0,red
16,215174,2,1,phase_104,3117.0,3120.0,3.0,red
16,215174,2,1,phase_105,3120.0,3177.0,57.0,red
16,215174,2,1,phase_106,3177.0,3180.0,3.0,red
16,215174,2,1,phase_107,3180.0,3237.0,57.0,green
16,215174,2,1,phase_108,3237.0,3240.0,3.0,red
16,215174,2,1,phase_109,3240.0,3297.0,57.0,red
16,215174,2,1,phase_110,3297.0,3300.0,3.0,red
16,215174,2,1,phase_111,3300.0,3357.0,57.0,red
16,215174,2,1,phase_112,3357.0,3360.0,3.0,red
16,215174,2,1,phase_113,3360.0,3417.0,57.0,green
16,215174,2,1,phase_114,3417.0,3420.0,3.0,red
16,215174,2,1,phase_115,3420.0,3477.0,57.0,red
16,215174,2,1,phase_116,3477.0,3480.0,3.0,red
16,215174,2,1,phase_117,3480.0,3537.0,57.0,green
16,215174,2,1,phase_118,3537.0,3540.0,3.0,yellow
16,215174,2,1,phase_119,3540.0,3597.0,57.0,red
16,215174,2,1,phase_120,3597.0,3600.0,3.0,red
16,215174,3,2,phase_01,0.0,57.0,57.0,green
16,215174,3,2,phase_02,57.0,60.0,3.0,red
16,215174,3,2,phase_03,60.0,117.0,57.0,red
16,215174,3,2,phase_04,117.0,120.0,3.0,red
16,215174,3,2,phase_05,120.0,177.0,57.0,green
16,215174,3,2,phase_06,177.0,180.0,3.0,yellow
16,215174,3,2,phase_07,180.0,237.0,57.0,red
16,215174,3,2,phase_08,237.0,240.0,3.0,red
16,215174,3,2,phase_09,240.0,297.0,57.0,red
16,215174,3,2,phase_10,297.0,300.0,3.0,red
16,215174,3,2,phase_11,300.0,357.0,57.0,green
16,215174,3,2,phase_12,357.0,360.0,3.0,red
16,215174,3,2,phase_13,360.0,417.0,57.0,red
16,215174,3,2,phase_14,417.0,420.0,3.0,red
16,215174,3,2,phase_15,420.0,477.0,57.0,red
16,215174,3,2,phase_16,477.0,480.0,3.0,red
16,215174,3,2,phase_17,480.0,537.0,57.0,green
16,215174,3,2,phase_18,537.0,540.0,3.0,red
16,215174,3,2,phase_19,540.0,597.0,57.0,red
16,215174,3,2,phase_20,597.0,600.0,3.0,red
16,215174,3,2,phase_21,600.0,657.0,57.0,green
16,215174,3,2,phase_22,657.0,660.0,3.0,yellow
16,215174,3,2,phase_23,660.0,717.0,57.0,red
16,215174,3,2,phase_24,717.0,720.0,3.0,red
16,215174,3,2,phase_25,720.0,777.0,57.0,red
16,215174,3,2,phase_26,777.0,780.0,3.0,red
16,215174,3,2,phase_27,780.0,837.0,57.0,green
16,215174,3,2,phase_28,837.0,840.0,3.0,red
16,215174,3,2,phase_29,840.0,897.0,57.0,red
16,215174,3,2,phase_30,897.0,900.0,3.0,red
16,215174,3,2,phase_31,900.0,957.0,57.0,red
16,215174,3,2,phase_32,957.0,960.0,3.0,red
16,215174,3,2,phase_33,960.0,1017.0,57.0,green
16,215174,3,2,phase_34,1017.0,1020.0,3.0,red
16,215174,3,2,phase_35,1020.0,1077.0,57.0,red
16,215174,3,2,phase_36,1077.0,1080.0,3.0,red
16,215174,3,2,phase_37,1080.0,1137.0,57.0,green
16,215174,3,2,phase_38,1137.0,1140.0,3.0,yellow
16,215174,3,2,phase_39,1140.0,1197.0,57.0,red
16,215174,3,2,phase_40,1197.0,1200.0,3.0,red
16,215174,3,2,phase_41,1200.0,1257.0,57.0,red
16,215174,3,2,phase_42,1257.0,1260.0,3.0,red
16,215174,3,2,phase_43,1260.0,1317.0,57.0,green
16,215174,3,2,phase_44,1317.0,1320.0,3.0,red
16,215174,3,2,phase_45,1320.0,1377.0,57.0,red
16,215174,3,2,phase_46,1377.0,1380.0,3.0,red
16,215174,3,2,phase_47,1380.0,1437.0,57.0,red
16,215174,3,2,phase_48,1437.0,1440.0,3.0,red
16,215174,3,2,phase_49,1440.0,1497.0,57.0,green
16,215174,3,2,phase_50,1497.0,1500.0,3.0,red
16,215174,3,2,phase_51,1500.0,1557.0,57.0,red
16,215174,3,2,phase_52,1557.0,1560.0,3.0,red
16,215174,3,2,phase_53,1560.0,1617.0,57.0,green
16,215174,3,2,phase_54,1617.0,1620.0,3.0,yellow
16,215174,3,2,phase_55,1620.0,1677.0,57.0,red
16,215174,3,2,phase_56,1677.0,1680.0,3.0,red
16,215174,3,2,phase_57,1680.0,1737.0,57.0,red
16,215174,3,2,phase_58,1737.0,1740.0,3.0,red
16,215174,3,2,phase_59,1740.0,1797.0,57.0,green
16,215174,3,2,phase_60,1797.0,1800.0,3.0,red
16,215174,3,2,phase_61,1800.0,1857.0,57.0,red
16,215174,3,2,phase_62,1857.0,1860.0,3.0,red
16,215174,3,2,phase_63,1860.0,1917.0,57.0,red
16,215174,3,2,phase_64,1917.0,1920.0,3.0,red
16,215174,3,2,phase_65,1920.0,1977.0,57.0,green
16,215174,3,2,phase_66,1977.0,1980.0,3.0,red
16,215174,3,2,phase_67,1980.0,2037.0,57.0,red
16,215174,3,2,phase_68,2037.0,2040.0,3.0,red
16,215174,3,2,phase_69,2040.0,2097.0,57.0,green
16,215174,3,2,phase_70,2097.0,2100.0,3.0,yellow
16,215174,3,2,phase_71,2100.0,2157.0,57.0,red
16,215174,3,2,phase_72,2157.0,2160.0,3.0,red
16,215174,3,2,phase_73,2160.0,2217.0,57.0,red
16,215174,3,2,phase_74,2217.0,2220.0,3.0,red
16,215174,3,2,phase_75,2220.0,2277.0,57.0,green
16,215174,3,2,phase_76,2277.0,2280.0,3.0,red
16,215174,3,2,phase_77,2280.0,2337.0,57.0,red
16,215174,3,2,phase_78,2337.0,2340.0,3.0,red
16,215174,3,2,phase_79,2340.0,2397.0,57.0,red
16,215174,3,2,phase_80,2397.0,2400.0,3.0,red
16,215174,3,2,phase_81,2400.0,2457.0,57.0,green
16,215174,3,2,phase_82,2457.0,2460.0,3.0,red
16,215174,3,2,phase_83,2460.0,2517.0,57.0,red
16,215174,3,2,phase_84,2517.0,2520.0,3.0,red
16,215174,3,2,phase_85,2520.0,2577.0,57.0,green
16,215174,3,2,phase_86,2577.0,2580.0,3.0,yellow
16,215174,3,2,phase_87,2580.0,2637.0,57.0,red
16,215174,3,2,phase_88,2637.0,2640.0,3.0,red
16,215174,3,2,phase_89,2640.0,2697.0,57.0,red
16,215174,3,2,phase_90,2697.0,2700.0,3.0,red
16,215174,3,2,phase_91,2700.0,2757.0,57.0,green
16,215174,3,2,phase_92,2757.0,2760.0,3.0,red
16,215174,3,2,phase_93,2760.0,2817.0,57.0,red
16,215174,3,2,phase_94,2817.0,2820.0,3.0,red
16,215174,3,2,phase_95,2820.0,2877.0,57.0,red
16,215174,3,2,phase_96,2877.0,2880.0,3.0,red
16,215174,3,2,phase_97,2880.0,2937.0,57.0,green
16,215174,3,2,phase_98,2937.0,2940.0,3.0,yellow
16,215174,3,2,phase_99,2940.0,2997.0,57.0,red
16,215174,3,2,phase_100,2997.0,3000.0,3.0,red
16,215174,3,2,phase_101,3000.0,3057.0,57.0,green
16,215174,3,2,phase_102,3057.0,3060.0,3.0,yellow
16,215174,3,2,phase_103,3060.0,3117.0,57.0,red
16,215174,3,2,phase_104,3117.0,3120.0,3.0,red
16,215174,3,2,phase_105,3120.0,3177.0,57.0,red
16,215174,3,2,phase_106,3177.0,3180.0,3.0,red
16,215174,3,2,phase_107,3180.0,3237.0,57.0,green
16,215174,3,2,phase_108,3237.0,3240.0,3.0,red
16,215174,3,2,phase_109,3240.0,3297.0,57.0,red
16,215174,3,2,phase_110,3297.0,3300.0,3.0,red
16,215174,3,2,phase_111,3300.0,3357.0,57.0,red
16,215174,3,2,phase_112,3357.0,3360.0,3.0,red
16,215174,3,2,phase_113,3360.0,3417.0,57.0,green
16,215174,3,2,phase_114,3417.0,3420.0,3.0,red
16,215174,3,2,phase_115,3420.0,3477.0,57.0,red
16,215174,3,2,phase_116,3477.0,3480.0,3.0,red
16,215174,3,2,phase_117,3480.0,3537.0,57.0,green
16,215174,3,2,phase_118,3537.0,3540.0,3.0,yellow
16,215174,3,2,phase_119,3540.0,3597.0,57.0,red
16,215174,3,2,phase_120,3597.0,3600.0,3.0,red
16,215174,4,3,phase_01,0.0,57.0,57.0,green
16,215174,4,3,phase_02,57.0,60.0,3.0,red
16,215174,4,3,phase_03,60.0,117.0,57.0,red
16,215174,4,3,phase_04,117.0,120.0,3.0,red
16,215174,4,3,phase_05,120.0,177.0,57.0,green
16,215174,4,3,phase_06,177.0,180.0,3.0,yellow
16,215174,4,3,phase_07,180.0,237.0,57.0,red
16,215174,4,3,phase_08,237.0,240.0,3.0,red
16,215174,4,3,phase_09,240.0,297.0,57.0,red
16,215174,4,3,phase_10,297.0,300.0,3.0,red
16,215174,4,3,phase_11,300.0,357.0,57.0,green
16,215174,4,3,phase_12,357.0,360.0,3.0,red
16,215174,4,3,phase_13,360.0,417.0,57.0,red
16,215174,4,3,phase_14,417.0,420.0,3.0,red
16,215174,4,3,phase_15,420.0,477.0,57.0,red
16,215174,4,3,phase_16,477.0,480.0,3.0,red
16,215174,4,3,phase_17,480.0,537.0,57.0,green
16,215174,4,3,phase_18,537.0,540.0,3.0,red
16,215174,4,3,phase_19,540.0,597.0,57.0,red
16,215174,4,3,phase_20,597.0,600.0,3.0,red
16,215174,4,3,phase_21,600.0,657.0,57.0,green
16,215174,4,3,phase_22,657.0,660.0,3.0,yellow
16,215174,4,3,phase_23,660.0,717.0,57.0,red
16,215174,4,3,phase_24,717.0,720.0,3.0,red
16,215174,4,3,phase_25,720.0,777.0,57.0,red
16,215174,4,3,phase_26,777.0,780.0,3.0,red
16,215174,4,3,phase_27,780.0,837.0,57.0,green
16,215174,4,3,phase_28,837.0,840.0,3.0,red
16,215174,4,3,phase_29,840.0,897.0,57.0,red
16,215174,4,3,phase_30,897.0,900.0,3.0,red
16,215174,4,3,phase_31,900.0,957.0,57.0,red
16,215174,4,3,phase_32,957.0,960.0,3.0,red
16,215174,4,3,phase_33,960.0,1017.0,57.0,green
16,215174,4,3,phase_34,1017.0,1020.0,3.0,red
16,215174,4,3,phase_35,1020.0,1077.0,57.0,red
16,215174,4,3,phase_36,1077.0,1080.0,3.0,red
16,215174,4,3,phase_37,1080.0,1137.0,57.0,green
16,215174,4,3,phase_38,1137.0,1140.0,3.0,yellow
16,215174,4,3,phase_39,1140.0,1197.0,57.0,red
16,215174,4,3,phase_40,1197.0,1200.0,3.0,red
16,215174,4,3,phase_41,1200.0,1257.0,57.0,red
16,215174,4,3,phase_42,1257.0,1260.0,3.0,red
